IDDIST,bad dwelling rate
070101,4.690242654586959
070102,2.4276122061096324
070103,2.4730552881738683
070104,0.958281374368666
070105,0.0
070106,7.949593740916934
070107,9.42413782473117
150101,3.977103962614961
150102,9.647888057762751
150103,10.450002435692978
150104,1.5403788866079406
150105,3.566510351548581
150106,8.340011363969001
150107,0.0
150108,5.223239334287077
150109,5.837392276313551
150110,8.142891010088398
150111,7.223512398908224
150112,2.8090354611980444
150113,0.6759617229635859
150114,0.0
150115,9.203161672030811
150116,0.0
150117,1.7284050927817471
150118,12.51572684045498
150119,5.678278034691628
150120,0.0
150121,1.0052728341744042
150122,1.2904847999679974
150123,11.273435410764845
150124,11.882562937993722
150125,12.199261265855473
150126,17.07874285222399
150128,6.4539757690624295
150129,16.666667179057747
150130,0.0
150131,0.0
150132,9.678182677614283
150133,4.331604519283924
150134,8.226591987169304
150135,4.36835197629291
150136,1.3509254435131246
150137,5.813874130926442
150139,0.0
150140,4.008695826259482
150141,3.4163497217915597
150142,10.164921866501425
150143,9.205255190498063
